,INGRESOS Y GASTOS 2025,,,,
,,,,,
INGRESOS,,,,GASTOS,
SALDO 2024,$359.195,,2/4/2025,1000 VOLANTES,$50.000
Cuotas socios 2025,$188.000,,2/4/2025,100 STICKERS,$40.000
,,,02/04/2025,LETRERO MERCADO 200X150CM,$45.000
,,,02/04/2025,LETRERO MERCADO 160X150CM,$40.000
,,,11/04/2025,VENDIMIA,$65.800
,,,26/05/2025,CONTADOR,$46.621
,,,,,
,,,,,
,,,,,
TOTAL INGRESOS,$547.195,,,TOTAL GASTOS,$287.421
,,,,,
,,,,,
,TOTAL 2025,$259.774,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,EFECTIVO,$175.010,,
,,CTA BANCO,$84.805,,
,,,,,
,,,$259.815,,